sacado,valor,data_vencimento,dias_atraso
Sacado 113 Ltda,9366.63,2026-10-02,
Sacado 075 Ltda,56131.47,2026-09-13,
Sacado 082 Ltda,25514.74,2026-10-07,
Sacado 107 Ltda,35353.05,2026-06-04,5.0
Sacado 069 Ltda,66261.76,2026-10-15,
Sacado 093 Ltda,7431.58,2026-04-10,22.0
Sacado 100 Ltda,15878.1,2026-06-06,0.0
Sacado 027 Ltda,34209.82,2026-08-20,
Sacado 007 Ltda,40687.48,2026-07-29,
Sacado 036 Ltda,21989.94,2026-04-18,0.0
Sacado 034 Ltda,67733.99,2026-08-10,
Sacado 104 Ltda,35182.92,2026-06-09,0.0
Sacado 109 Ltda,11263.18,2026-09-04,
Sacado 001 Ltda,14120.59,2026-10-16,
Sacado 060 Ltda,56634.68,2026-05-02,0.0
Sacado 098 Ltda,43090.82,2026-07-16,0.0
Sacado 016 Ltda,6507.76,2026-03-26,0.0
Sacado 095 Ltda,87392.95,2026-07-08,0.0
Sacado 015 Ltda,47974.34,2026-09-13,
Sacado 056 Ltda,87088.0,2026-10-06,
Sacado 098 Ltda,21873.68,2026-09-03,
Sacado 037 Ltda,23468.98,2026-05-19,21.0
Sacado 041 Ltda,12074.3,2026-06-07,0.0
Sacado 034 Ltda,226283.44,2026-10-16,
Sacado 086 Ltda,25838.91,2026-09-03,
Sacado 031 Ltda,105876.28,2026-09-28,
Sacado 118 Ltda,17714.98,2026-05-11,0.0
Sacado 053 Ltda,33896.7,2026-06-05,32.0
Sacado 057 Ltda,7808.11,2026-09-10,
Sacado 061 Ltda,21888.27,2026-05-28,0.0
Sacado 070 Ltda,65316.76,2026-08-26,
Sacado 066 Ltda,10922.77,2026-04-16,31.0
Sacado 061 Ltda,70107.29,2026-04-03,0.0
Sacado 119 Ltda,38940.51,2026-09-29,
Sacado 097 Ltda,12898.15,2026-05-23,0.0
Sacado 095 Ltda,19904.92,2026-04-29,0.0
Sacado 084 Ltda,20593.84,2026-05-13,0.0
Sacado 075 Ltda,28577.77,2026-03-22,0.0
Sacado 041 Ltda,19362.33,2026-08-27,
Sacado 118 Ltda,15339.24,2026-09-23,
Sacado 056 Ltda,23302.82,2026-03-24,8.0
Sacado 026 Ltda,13075.4,2026-07-24,
Sacado 101 Ltda,10597.56,2026-06-05,0.0
Sacado 020 Ltda,28608.49,2026-08-09,
Sacado 103 Ltda,60252.5,2026-08-15,
Sacado 073 Ltda,8747.32,2026-08-21,
Sacado 014 Ltda,29816.18,2026-03-30,0.0
Sacado 006 Ltda,17677.27,2026-03-29,3.0
Sacado 053 Ltda,13606.24,2026-10-05,
Sacado 005 Ltda,58850.18,2026-04-09,11.0
Sacado 017 Ltda,19642.76,2026-07-05,27.0
Sacado 062 Ltda,98581.74,2026-07-03,0.0
Sacado 116 Ltda,15932.69,2026-06-08,0.0
Sacado 056 Ltda,40505.85,2026-03-31,33.0
Sacado 097 Ltda,24789.45,2026-04-25,0.0
Sacado 110 Ltda,16265.19,2026-07-04,9.0
Sacado 098 Ltda,47578.68,2026-04-13,0.0
Sacado 075 Ltda,26265.56,2026-08-22,
Sacado 053 Ltda,48173.7,2026-09-17,
Sacado 062 Ltda,28628.75,2026-08-06,
Sacado 032 Ltda,12473.32,2026-09-11,
Sacado 060 Ltda,27401.27,2026-07-28,
Sacado 046 Ltda,30994.47,2026-08-13,
Sacado 030 Ltda,64008.45,2026-03-30,0.0
Sacado 119 Ltda,14400.02,2026-07-13,21.0
Sacado 002 Ltda,28811.68,2026-05-09,9.0
Sacado 012 Ltda,7498.79,2026-04-28,56.0
Sacado 023 Ltda,50070.86,2026-09-25,
Sacado 116 Ltda,12516.63,2026-09-10,
Sacado 083 Ltda,7008.73,2026-04-15,11.0
Sacado 105 Ltda,28356.92,2026-10-14,
Sacado 024 Ltda,72009.11,2026-07-10,0.0
Sacado 086 Ltda,8781.85,2026-07-29,
Sacado 044 Ltda,12451.19,2026-03-31,3.0
Sacado 059 Ltda,16405.63,2026-09-22,
Sacado 001 Ltda,12044.97,2026-10-04,
Sacado 074 Ltda,40277.26,2026-08-29,
Sacado 099 Ltda,15585.65,2026-04-26,0.0
Sacado 079 Ltda,16693.73,2026-07-09,0.0
Sacado 019 Ltda,47412.65,2026-06-15,0.0
Sacado 064 Ltda,16245.78,2026-06-11,0.0
Sacado 032 Ltda,42033.58,2026-07-13,15.0
Sacado 115 Ltda,13669.08,2026-08-18,
Sacado 105 Ltda,11274.39,2026-08-18,
Sacado 023 Ltda,6847.51,2026-05-10,12.0
Sacado 061 Ltda,131789.63,2026-10-03,
