sacado,valor,data_vencimento
Sacado 004,82112.75,2026-08-06
Sacado 018,26737.32,2026-09-19
Sacado 005,26464.76,2026-09-09
Sacado 003,35114.22,2026-09-15
Sacado 028,11987.33,2026-10-04
Sacado 011,34273.94,2026-10-15
Sacado 020,33458.47,2026-09-05
Sacado 005,47947.7,2026-10-14
Sacado 020,32160.11,2026-08-17
Sacado 024,54798.56,2026-10-22
Sacado 029,14637.91,2026-10-26
Sacado 017,24286.13,2026-08-23
Sacado 011,22282.74,2026-10-26
Sacado 007,17748.89,2026-10-01
Sacado 026,37122.65,2026-10-17
Sacado 014,31574.99,2026-10-06
Sacado 003,45752.25,2026-07-26
Sacado 013,30333.06,2026-08-22
Sacado 020,67895.52,2026-10-14
Sacado 027,22289.94,2026-09-16
Sacado 001,42130.51,2026-09-21
Sacado 011,16801.97,2026-09-04
Sacado 027,21962.68,2026-08-26
Sacado 010,39177.61,2026-10-03
Sacado 005,23312.06,2026-08-23
Sacado 014,59465.68,2026-08-02
Sacado 002,46213.36,2026-10-14
Sacado 025,16330.86,2026-08-12
Sacado 009,52138.87,2026-07-26
Sacado 003,44721.88,2026-08-23
Sacado 001,58041.5,2026-09-10
Sacado 014,35920.21,2026-07-25
Sacado 022,68101.74,2026-09-24
Sacado 002,52008.27,2026-10-20
Sacado 026,48800.19,2026-10-15
Sacado 024,69683.65,2026-09-02
Sacado 003,32636.45,2026-09-27
Sacado 009,77331.22,2026-08-28
Sacado 015,14127.16,2026-09-25
Sacado 007,48004.07,2026-10-22
Sacado 008,19850.83,2026-09-08
Sacado 028,17033.84,2026-08-28
Sacado 013,79310.1,2026-10-21
Sacado 022,30287.47,2026-10-27
Sacado 002,42042.34,2026-08-04
Sacado 008,122287.93,2026-10-26
Sacado 022,25720.17,2026-08-22
Sacado 020,93678.46,2026-08-01
Sacado 023,23209.31,2026-10-16
Sacado 005,35955.18,2026-09-08
Sacado 005,23372.55,2026-08-10
Sacado 023,43683.59,2026-09-08
Sacado 023,31792.55,2026-08-09
Sacado 011,27127.27,2026-07-31
Sacado 029,32391.94,2026-09-14
Sacado 008,80875.46,2026-10-24
Sacado 002,128650.18,2026-10-04
Sacado 019,27533.79,2026-08-26
Sacado 015,80362.51,2026-07-25
Sacado 018,22190.93,2026-08-15
